increment,array,row,parameter,oti,fd,abs_diff,rel_diff
10,DSIGMA_DP,5,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,5,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,6,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,6,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,6,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
10,DSIGMA_DP,6,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
11,DSIGMA_DP,1,E,1.3821611139e-03,1.3821611142e-03,2.761e-13,2.761e-13
11,DSIGMA_DP,1,NU,1.3738982902e+03,1.3738982901e+03,6.556e-08,4.772e-11
11,DSIGMA_DP,1,SIGY0,6.6093853272e-01,6.6093853263e-01,8.646e-11,8.646e-11
11,DSIGMA_DP,1,H,1.0920993601e-05,1.0920999216e-05,5.615e-12,5.615e-12
11,DSIGMA_DP,2,E,1.3714194430e-03,1.3714194433e-03,2.619e-13,2.619e-13
11,DSIGMA_DP,2,NU,1.3755508549e+03,1.3755508549e+03,1.722e-08,1.252e-11
11,DSIGMA_DP,2,SIGY0,-3.3046926636e-01,-3.3046926632e-01,3.823e-11,3.823e-11
11,DSIGMA_DP,2,H,-5.4604968004e-06,-5.4604996080e-06,2.808e-12,2.808e-12
11,DSIGMA_DP,3,E,1.3714194430e-03,1.3714194433e-03,2.619e-13,2.619e-13
11,DSIGMA_DP,3,NU,1.3755508549e+03,1.3755508549e+03,1.722e-08,1.252e-11
11,DSIGMA_DP,3,SIGY0,-3.3046926636e-01,-3.3046926632e-01,3.823e-11,3.823e-11
11,DSIGMA_DP,3,H,-5.4604968004e-06,-5.4604996080e-06,2.808e-12,2.808e-12
11,DSIGMA_DP,4,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
11,DSIGMA_DP,4,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
11,DSIGMA_DP,4,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
11,DSIGMA_DP,4,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
11,DSIGMA_DP,5,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
11,DSIGMA_DP,5,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
11,DSIGMA_DP,5,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
11,DSIGMA_DP,5,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
11,DSIGMA_DP,6,E,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
11,DSIGMA_DP,6,NU,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
11,DSIGMA_DP,6,SIGY0,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
11,DSIGMA_DP,6,H,0.0000000000e+00,0.0000000000e+00,0.000e+00,0.000e+00
12,DSIGMA_DP,1,E,1.5071667928e-03,1.5071667931e-03,2.595e-13,2.595e-13
12,DSIGMA_DP,1,NU,1.4988974165e+03,1.4988974164e+03,8.607e-08,5.742e-11
12,DSIGMA_DP,1,SIGY0,6.6093853272e-01,6.6093853275e-01,3.354e-11,3.354e-11
12,DSIGMA_DP,1,H,7.6446955205e-05,7.6446966091e-05,1.089e-11,1.089e-11
12,DSIGMA_DP,2,E,1.4964166036e-03,1.4964166039e-03,3.203e-13,3.203e-13
